patience,seed,epoka_stop,test_acc,sharpness
3,42,13,0.7956,0.03322596878528594
5,42,35,0.8488,0.028330158445835085
7,42,37,0.8488,0.02955871272087085
15,42,58,0.9303,0.019398950275182736
