Metoda,Dokladnosc,Sharpness,Ziarna
Early Stopping,0.8140 ± 0.0183,0.0338 ± 0.0025,3
SGDR,0.8535 ± 0.0132,0.0516 ± 0.0147,3
SWA,0.9415 ± 0.0002,0.0686 ± 0.0085,3
Noise Injection,0.9216 ± 0.0075,0.1387 ± 0.0586,3
MU Escape,0.9201 ± 0.0073,0.1301 ± 0.0313,3
